time,Red,Green,Blue,,accuracy,precision,,Red after Sorting,Green after sorting,Blue after sorting,,,Reading (red),Repeated,Accuracy,precision,,Reading (Green),Repeated,,Reading (Blue),Repeated
5545,175,227,169,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
5579,175,226,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
5612,175,227,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
7096,175,227,175,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
7196,175,227,176,,0.977653631,0.965333098,,175,226,174,,,,,,,,,,,,
8563,175,227,175,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
8662,175,221,175,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
8696,175,226,170,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
8912,175,220,168,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
8930,175,227,176,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9062,175,219,174,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9195,175,227,175,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9263,175,227,176,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9279,175,222,176,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9380,175,226,169,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9414,175,225,174,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
9513,175,221,176,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
10397,175,235,181,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
10646,175,234,180,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
13030,175,234,181,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
13796,175,235,181,,0.977653631,0.965333098,,175,227,174,,,,,,,,,,,,
13830,175,235,181,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
13862,175,235,182,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
14730,175,236,182,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
14779,175,234,180,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
15030,175,234,180,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
15096,175,235,182,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
15330,175,235,181,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
15346,175,235,181,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
31330,175,232,179,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
31831,175,235,181,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
32898,175,235,181,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
33414,175,232,179,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
35280,175,235,180,,0.977653631,0.965333098,,175,227,175,,,,,,,,,,,,
35565,175,236,182,,0.977653631,0.965333098,,176,227,175,,,,,,,,,,,,
3061,176,228,170,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3098,176,228,170,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3129,176,228,170,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3162,176,229,177,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3195,176,228,175,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3344,176,223,177,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3445,176,229,177,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3479,176,229,177,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3578,176,228,170,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3612,176,228,170,,0.983240223,0.970849288,,176,227,175,,,,,,,,,,,,
3645,176,228,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3662,176,229,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3695,176,230,171,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3761,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3862,176,229,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3945,176,229,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
3979,176,228,175,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4012,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4045,176,223,177,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4313,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4330,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4362,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4528,176,222,177,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4645,176,228,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4679,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4712,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4746,176,222,176,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
4812,176,228,170,,0.983240223,0.970849288,,176,228,175,,,,,,,,,,,,
